,endtime,starttime,interval,departing_insect,arriving_insect,sheet_title,timestamp_pd,timestamp_pd_rounded,same_species,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,status
261,0 days 00:57:58,0 days 01:01:48,230.0,A. mellifera,A. mellifera,(pol.)+Helianthus tuberosus 9.29.22,2022-09-29 14:06:17,2022-09-29 14:00:00,1,16.0,9.0,63.0,0.0,20.0,14.8,1029.0,1.0,1
262,0 days 00:01:41,0 days 00:36:03,2062.0,Brachycera,Eristalinae,(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 14:46:39,2022-10-06 15:00:00,0,20.0,10.1,53.0,0.0,306.0,4.3,1018.0,3.0,1
263,0 days 00:36:05,0 days 00:37:08,63.0,Eristalinae,Eristalinae,(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:21:03,2022-10-06 15:00:00,1,20.0,10.1,53.0,0.0,306.0,4.3,1018.0,3.0,1
264,0 days 00:37:20,0 days 00:39:38,138.0,Eristalinae,Bombus impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:22:08,2022-10-06 15:00:00,0,20.0,10.1,53.0,0.0,306.0,4.3,1018.0,3.0,1
265,0 days 00:46:14,0 days 00:46:31,17.0,Bombus impatiens (F),B. impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:24:38,2022-10-06 15:00:00,1,20.0,10.1,53.0,0.0,306.0,4.3,1018.0,3.0,1
266,0 days 00:47:04,0 days 00:47:21,17.0,B. impatiens (F),B. impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:31:31,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
267,0 days 00:47:41,0 days 00:47:57,16.0,B. impatiens (F),B. impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:32:21,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
268,0 days 00:48:05,0 days 00:49:12,67.0,B. impatiens (F),B. impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:32:57,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
269,0 days 00:49:46,0 days 00:52:42,176.0,B. impatiens (F),B. impatiens (F),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:34:12,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
270,0 days 00:53:07,0 days 00:55:48,161.0,B. impatiens (F),B. impatiens (M),(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:37:42,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
271,0 days 00:55:50,0 days 01:01:04,314.0,B. impatiens (M),Apis mellifera,(pol.) +P1 Echinacea purpurea 10.6.22,2022-10-06 15:40:48,2022-10-06 16:00:00,0,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
272,0 days 00:03:20,0 days 00:04:53,93.0,Bombus impatiens (F),Diptera,(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:00:37,2022-10-06 16:00:00,0,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
273,0 days 00:06:59,0 days 00:25:27,1108.0,Diptera,Brachycera,(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:05:00,2022-10-06 16:00:00,0,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
274,0 days 00:25:42,0 days 00:28:24,162.0,Brachycera,B. impatiens (F),(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:25:34,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
275,0 days 00:30:40,0 days 00:30:45,5.0,B. impatiens (F),B. impatiens (F),(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:28:31,2022-10-06 16:00:00,1,22.0,8.1,41.0,0.0,260.0,7.0,1017.0,3.0,1
276,0 days 00:30:50,0 days 00:39:40,530.0,B. impatiens (F),Diptera,(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:30:52,2022-10-06 17:00:00,0,22.0,12.0,53.0,0.0,240.0,9.0,1017.0,3.0,1
277,0 days 00:39:51,0 days 00:40:02,11.0,Diptera,B. impatiens (F),(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:39:47,2022-10-06 17:00:00,0,22.0,12.0,53.0,0.0,240.0,9.0,1017.0,3.0,1
278,0 days 00:40:15,0 days 00:47:21,426.0,B. impatiens (F),Diptera,(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:40:09,2022-10-06 17:00:00,0,22.0,12.0,53.0,0.0,240.0,9.0,1017.0,3.0,1
279,0 days 00:47:52,0 days 00:50:59,187.0,Diptera,B. impatiens (F),(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:47:28,2022-10-06 17:00:00,0,22.0,12.0,53.0,0.0,240.0,9.0,1017.0,3.0,1
280,0 days 00:51:22,0 days 01:07:41,979.0,B. impatiens (F),Insecta,(pol.) +P2 Echinacea purpurea 10.6.22,2022-10-06 16:51:06,2022-10-06 17:00:00,0,22.0,12.0,53.0,0.0,240.0,9.0,1017.0,3.0,1
281,0 days 00:04:57,0 days 00:07:18,141.0,B. impatiens (F),B. impatiens (F),(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 14:42:44,2022-10-07 15:00:00,1,20.0,13.0,64.0,0.0,250.0,6.0,1018.0,1.0,1
282,0 days 00:08:02,0 days 00:10:58,176.0,B. impatiens (F),Eristalinae,(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 14:45:09,2022-10-07 15:00:00,0,20.0,13.0,64.0,0.0,250.0,6.0,1018.0,1.0,1
283,0 days 00:11:07,0 days 00:15:51,284.0,Eristalinae,B. impatiens (F),(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 14:48:49,2022-10-07 15:00:00,0,20.0,13.0,64.0,0.0,250.0,6.0,1018.0,1.0,1
284,0 days 00:16:27,0 days 00:22:11,344.0,B. impatiens (F),B. impatiens (F),(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 14:53:42,2022-10-07 15:00:00,1,20.0,13.0,64.0,0.0,250.0,6.0,1018.0,1.0,1
285,0 days 00:22:37,0 days 00:53:54,1877.0,B. impatiens (F),B. impatiens (F),(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 15:00:02,2022-10-07 15:00:00,1,20.0,13.0,64.0,0.0,250.0,6.0,1018.0,1.0,1
286,0 days 00:56:23,0 days 01:08:43,740.0,B. impatiens (F),Brachycera,(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 15:31:45,2022-10-07 16:00:00,1,22.0,8.1,41.0,0.0,280.0,11.2,1018.0,1.0,1
287,0 days 01:09:05,0 days 01:12:22,197.0,Brachycera,B. impatiens (M),(pol.)+Eutrochium maculatum 10.7.22,2022-10-07 15:46:34,2022-10-07 16:00:00,1,22.0,8.1,41.0,0.0,280.0,11.2,1018.0,1.0,1
288,0 days 00:01:48,0 days 00:25:57,1449.0,Bombus impatiens (F),B. impatiens (F),(pol.) +Bidens ferufillioa 10.11.22,2022-10-11 13:37:10,2022-10-11 14:00:00,1,17.0,7.9,55.0,0.0,258.0,2.5,1029.0,1.0,1
289,0 days 00:26:00,0 days 00:48:45,1365.0,B. impatiens (F),B. impatiens (F),(pol.) +Bidens ferufillioa 10.11.22,2022-10-11 14:01:39,2022-10-11 14:00:00,1,17.0,7.9,55.0,0.0,258.0,2.5,1029.0,1.0,1
290,0 days 00:48:56,0 days 01:09:20,1224.0,B. impatiens (F),B. impatiens (F),(pol.) +Bidens ferufillioa 10.11.22,2022-10-11 14:24:27,2022-10-11 14:00:00,1,17.0,7.9,55.0,0.0,258.0,2.5,1029.0,1.0,1
291,0 days 00:36:55,0 days 00:37:46,51.0,Insecta,Insecta,+Castanea mollissima 10.13.22,2022-10-13 14:29:40,2022-10-13 14:00:00,1,17.0,16.0,94.0,3.9,160.0,9.0,1011.0,9.0,1
292,0 days 00:00:28,0 days 00:00:37,9.0,Bombus impatiens (F),B. impatiens (F),(pol.) +Tithonia rotundifolia 10.14.22,2022-10-14 13:19:04,2022-10-14 13:00:00,1,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
293,0 days 00:00:41,0 days 00:03:07,146.0,B. impatiens (F),B. impatiens (F),(pol.) +Tithonia rotundifolia 10.14.22,2022-10-14 13:19:29,2022-10-14 13:00:00,1,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
294,0 days 00:03:14,0 days 00:09:39,385.0,B. impatiens (F),B. impatiens (F),(pol.) +Tithonia rotundifolia 10.14.22,2022-10-14 13:21:59,2022-10-14 13:00:00,1,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
295,0 days 00:09:57,0 days 00:10:14,17.0,B. impatiens (F),Lasioglossum (Dialictus) sp. (F),(pol.) +Tithonia rotundifolia 10.14.22,2022-10-14 13:28:31,2022-10-14 13:00:00,0,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
296,0 days 00:10:36,0 days 00:10:39,3.0,Lasioglossum (Dialictus) sp. (F),L. (Dialictus) sp. (F),(pol.) +Tithonia rotundifolia 10.14.22,2022-10-14 13:29:06,2022-10-14 13:00:00,1,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
297,0 days 00:14:32,0 days 00:50:01,2129.0,Coliadinae,Bombus impatiens (F),(pol.)+Trifolium pratense 10.14.22,2022-10-14 13:26:36,2022-10-14 13:00:00,0,12.0,12.0,100.0,0.0,210.0,6.0,1016.0,3.0,1
0,0 days 14:18:53,0 days 14:44:24,1531.0,X. virginica (F),X. virginica (F),Obedient Plant 09-8-22 picture bag analysis sheet,2022-09-08 14:18:53,2022-09-08 14:00:00,1,22.0,18.0,78.0,0.0,10.0,7.6,1015.0,1.0,1
1,0 days 14:46:24,0 days 15:10:54,1470.0,X. virginica (F),Xylocopa virginica (F),Obedient Plant 09-8-22 picture bag analysis sheet,2022-09-08 14:46:24,2022-09-08 15:00:00,1,23.0,17.0,69.0,0.0,30.0,9.0,1015.0,1.0,1
2,0 days 12:42:47,0 days 13:18:48,2161.0,Augochora pura,Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 12:42:47,2022-07-21 13:00:00,0,29.0,26.0,84.0,0.0,260.0,15.0,1007.0,1.0,1
3,0 days 13:19:18,0 days 13:19:48,30.0,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:19:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,260.0,15.0,1007.0,1.0,1
4,0 days 13:20:18,0 days 13:23:48,210.0,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:20:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,260.0,15.0,1007.0,1.0,1
5,0 days 13:24:18,0 days 13:31:48,450.0,Megachile sp. (F),Megachile sp. (F), Blue Vervain 07-21-22 Picture bag analysis,2022-07-21 13:24:18,2022-07-21 13:00:00,1,29.0,26.0,84.0,0.0,260.0,15.0,1007.0,1.0,1
6,0 days 12:29:34,0 days 12:29:44,10.0,Ceratina sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 12:29:34,2022-07-21 12:00:00,1,27.0,25.0,89.0,0.0,220.0,6.0,1007.0,1.0,1
7,0 days 12:29:48,0 days 12:29:55,7.0,Ceratina sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 12:29:48,2022-07-21 12:00:00,1,27.0,25.0,89.0,0.0,220.0,6.0,1007.0,1.0,1
9,0 days 16:01:24,0 days 16:11:55,631.0,Ceratina sp. (F),Ceratina, Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:01:24,2022-07-21 16:00:00,1,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
10,0 days 16:12:55,0 days 16:20:25,450.0,Ceratina,Megachile sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:12:55,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
11,0 days 16:21:25,0 days 16:25:25,240.0,Megachile sp. (F),Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:21:25,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
12,0 days 16:25:55,0 days 16:26:55,60.0,Ceratina sp. (F),Insecta, Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:25:55,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
13,0 days 16:27:25,0 days 16:28:55,90.0,Insecta,Ceratina sp., Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:27:25,2022-07-21 16:00:00,0,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
14,0 days 16:29:25,0 days 16:30:55,90.0,Ceratina sp.,Ceratina sp. (F), Blue Vervain 07-21-22 unbagged analysis,2022-07-21 16:29:25,2022-07-21 16:00:00,1,31.0,25.1,71.0,0.0,300.0,11.2,1008.0,3.0,1
15,0 days 12:27:59,0 days 13:10:00,2521.0,Coleoptera,Coleoptera,Halberd-leaf Rosemallow 08-09-2022 unbagged analysis,2022-08-09 12:27:59,2022-08-09 12:00:00,1,26.0,26.0,100.0,0.0,210.0,7.0,1017.0,3.0,1
16,0 days 12:20:51,0 days 12:29:21,510.0,Insecta,Xylocopa virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:20:51,2022-08-11 12:00:00,0,22.3,20.4,89.0,0.0,312.0,10.8,1014.7,3.0,1
17,0 days 12:29:51,0 days 12:42:21,750.0,Xylocopa virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:29:51,2022-08-11 12:00:00,1,22.3,20.4,89.0,0.0,312.0,10.8,1014.7,3.0,1
18,0 days 12:43:51,0 days 12:44:51,60.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:43:51,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
19,0 days 12:45:21,0 days 12:47:51,150.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:45:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
20,0 days 12:48:21,0 days 12:51:51,210.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:48:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
21,0 days 12:52:21,0 days 13:22:21,1800.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 12:52:21,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
22,0 days 13:22:51,0 days 13:34:21,690.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 13:22:51,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
23,0 days 12:47:11,0 days 13:26:42,2371.0,Xylocopa virginica (F),Xylocopa virginica (F),Horsemint 08-11-2022 picturebag analysis,2022-08-11 12:47:11,2022-08-11 13:00:00,1,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
24,0 days 13:27:12,0 days 13:58:12,1860.0,Xylocopa virginica (F),Insecta,Horsemint 08-11-2022 picturebag analysis,2022-08-11 13:27:12,2022-08-11 13:00:00,0,21.0,21.0,100.0,0.0,290.0,6.0,1016.0,3.0,1
25,0 days 13:36:22,0 days 14:01:22,1500.0,X. virginica (F),X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 13:36:22,2022-08-11 14:00:00,1,24.0,22.1,89.0,0.0,320.0,13.0,1016.0,3.0,1
26,0 days 14:02:22,0 days 14:17:50,928.0,X. virginica (F),Monobia quadridens,Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:02:22,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,320.0,13.0,1016.0,3.0,1
27,0 days 14:18:20,0 days 14:26:20,480.0,Monobia quadridens,X. virginica,Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:18:20,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,320.0,13.0,1016.0,3.0,1
28,0 days 14:26:50,0 days 14:41:50,900.0,X. virginica,X. virginica (F),Horsemint 08-11-2022 unbaggged analysis,2022-08-11 14:26:50,2022-08-11 14:00:00,1,24.0,22.1,89.0,0.0,320.0,13.0,1016.0,3.0,1
29,0 days 13:58:42,0 days 15:02:13,3811.0,Insecta,X. virginica (F),Horsemint 08-11-2022 picturebag analysis,2022-08-11 13:58:42,2022-08-11 14:00:00,0,24.0,22.1,89.0,0.0,320.0,13.0,1016.0,3.0,1
30,0 days 14:26:24,0 days 15:10:55,2671.0,Bombus,Bombus impatiens (F),Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 14:26:24,2022-09-13 14:00:00,1,22.0,16.1,69.0,0.0,290.0,13.0,1012.0,3.0,1
31,0 days 15:11:25,0 days 15:27:25,960.0,Bombus impatiens (F),Apidae,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:11:25,2022-09-13 15:00:00,0,23.0,16.1,65.0,0.0,310.0,11.2,1011.0,3.0,1
32,0 days 15:27:55,0 days 15:49:25,1290.0,Apidae,Bee Species,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:27:55,2022-09-13 15:00:00,0,23.0,16.1,65.0,0.0,310.0,11.2,1011.0,3.0,1
33,0 days 15:49:55,0 days 16:14:25,1470.0,Bee Species,Heteroptera,Jewelweed 09-13-2022 picture bag analysis sheet,2022-09-13 15:49:55,2022-09-13 16:00:00,0,25.0,17.0,61.0,0.0,280.0,13.0,1011.0,3.0,1
34,0 days 11:54:51,0 days 12:07:21,750.0,Bombus griseocollis (M),Augochlorini,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 11:54:51,2022-08-04 12:00:00,0,23.0,23.0,100.0,0.0,0.0,0.0,1019.0,1.0,1
35,0 days 12:07:51,0 days 12:10:51,180.0,Augochlorini,Bombus griseocollis,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:07:51,2022-08-04 12:00:00,0,23.0,23.0,100.0,0.0,0.0,0.0,1019.0,1.0,1
36,0 days 12:11:21,0 days 12:11:51,30.0,Bombus griseocollis,Bombus sp.,Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:11:21,2022-08-04 12:00:00,1,23.0,23.0,100.0,0.0,0.0,0.0,1019.0,1.0,1
37,0 days 12:12:21,0 days 13:02:21,3000.0,Bombus sp.,Bombus griseocollis (F),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 12:12:21,2022-08-04 12:00:00,1,23.0,23.0,100.0,0.0,0.0,0.0,1019.0,1.0,1
38,0 days 13:02:51,0 days 13:31:22,1711.0,Bombus griseocollis (F),Bombus griseocollis (U),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 13:02:51,2022-08-04 13:00:00,1,28.0,25.0,84.0,0.0,220.0,7.0,1019.0,1.0,1
39,0 days 13:31:52,0 days 13:44:22,750.0,Bombus griseocollis (U),Bombus impatiens (F),Swamp Milkweed analysis 08-04-2022 unbagged,2022-08-04 13:31:52,2022-08-04 14:00:00,1,29.0,25.0,79.0,0.0,220.0,7.0,1019.0,1.0,1
40,0 days 12:12:26,0 days 12:37:56,1530.0,Bombus impatiens,apoidea,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:12:26,2022-08-25 12:00:00,0,17.0,17.0,100.0,0.0,0.0,0.0,1019.0,1.0,1
42,0 days 12:38:26,0 days 12:39:56,90.0,apoidea,Poanes zabulon,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:38:26,2022-08-25 13:00:00,0,21.0,21.0,100.0,0.0,0.0,0.0,1020.0,1.0,1
43,0 days 12:40:56,0 days 13:54:27,4411.0,Poanes zabulon,Macroglossum stellatarum,Great Blue Lobelia 08-25-2022 unbagged,2022-08-25 12:40:56,2022-08-25 13:00:00,0,21.0,21.0,100.0,0.0,0.0,0.0,1020.0,1.0,1
